,Name,Rating,Review,Salaries,Jobs
348,Patanjali Ayurved,3.9,2.4k,6k,128
349,Himalaya Wellness,4.1,2.4k,6.2k,139
350,Foundever,3.5,2.4k,8.3k,171
351,BT Group,3.8,2.4k,11k,221
352,Gallagher,3.7,2.4k,13.1k,255
353,McDonald's,3.9,2.4k,4.8k,146
354,Adani Power,3.8,2.4k,9.1k,284
355,V-Mart,4.1,2.4k,4.2k,177
356,Parle Agro,3.9,2.3k,6.6k,138
357,JCB,3.9,2.3k,9.4k,153
358,Exl India,3.5,2.3k,13.8k,120
359,Axis Direct,3.7,2.3k,4.7k,86
360,ICICI Securities,3.9,2.3k,9.4k,183
361,Capgemini Engineering,3.4,2.3k,15.1k,390
362,IntouchCX,2.7,2.3k,9.3k,220
363,Taj Hotels Resorts and Palaces,4.2,2.3k,4.6k,147
364,Planet Spark,3.9,2.3k,3.2k,553
365,KocharTech,3.7,2.3k,3.7k,79
366,Mahindra Holidays & Resorts,3.5,2.3k,6k,119
367,Datamatics Global Services,3.3,2.3k,11.5k,178
368,Tata Advanced Systems,3.7,2.3k,12.1k,172
369,Emcure Pharmaceuticals,3.7,2.3k,8.1k,119
370,Intellect Design Arena,3.7,2.3k,13.1k,179
371,Mahindra Rural Housing Finance,4.0,2.3k,4.8k,97
372,Zepto,3.6,2.3k,7.8k,398
373,Canara HSBC Life Insurance,3.6,2.3k,6.3k,127
374,Biocon Limited,4.0,2.3k,11.6k,175
375,Laurus Labs,4.3,2.3k,7k,141
376,Cholamandalam MS General Insurance,3.7,2.3k,5.7k,111
377,Niva Bupa Health Insurance Company,3.6,2.3k,7.9k,154
378,Info Edge,3.9,2.3k,10.8k,362
379,3i Infotech,3.4,2.2k,10.6k,157
380,Cybage,3.8,2.2k,17.3k,212
381,Hero FinCorp,3.9,2.2k,5.3k,106
382,Aditya Birla Group,4.1,2.2k,9.8k,223
383,Akums Drugs & Pharmaceuticals Limited,4.3,2.2k,6k,323
384,Lifestyle,4.3,2.2k,6.8k,78
385,Delhi Public School,3.9,2.2k,5.2k,148
386,Syngene International,3.9,2.2k,12.3k,183
387,Photon Interactive,4.1,2.2k,7k,123
388,Physicswallah,3.6,2.2k,7.4k,244
389,Cadila Pharmaceuticals,3.3,2.2k,7.6k,149
390,Aditya Birla Capital,3.8,2.2k,9.2k,190
391,Bureau Veritas,3.8,2.2k,8k,135
392,Eureka Forbes,3.6,2.2k,5.3k,85
393,Adani Group,3.8,2.2k,10.4k,261
394,Xoriant,4.1,2.2k,11.3k,221
395,Unacademy,2.9,2.2k,10.2k,227
396,Sopra Steria,3.9,2.2k,13.8k,173
397,Aavas Financiers,3.9,2.2k,5.6k,107
398,Lava International,3.9,2.2k,4.1k,79
399,Straive,3.3,2.2k,9.6k,215
400,Myntra,3.9,2.1k,10k,236
401,Sobha,3.8,2.1k,8.1k,159
402,Kia India,4.0,2.1k,7.9k,166
403,Tata Electronics,3.9,2.1k,9.2k,223
404,Foxconn,3.8,2.1k,9.5k,205
405,Radisson Hotels,4.0,2.1k,5.2k,95
406,GVK Emergency Management and Research Institute,3.6,2.1k,4.4k,104
407,Huawei Technologies,4.0,2.1k,8.2k,117
408,RMSI,3.6,2.1k,8.3k,181
409,GlaxoSmithKline Pharmaceuticals,4.0,2.1k,5.5k,123
410,Nokia Networks,4.1,2.1k,10.6k,123
411,Team Computers,3.7,2.1k,8.2k,194
412,Endurance Technologies,3.9,2.1k,7.6k,128
413,Whirlpool,3.9,2.1k,7.7k,112
414,Cisco,4.1,2.1k,18.3k,398
415,Panasonic Life Solutions India,4.0,2.1k,6.6k,90
416,SBI Securities,3.7,2.1k,6.5k,172
417,TaskUs,3.1,2.1k,8.5k,204
418,Lodha Group,4.0,2.1k,8.3k,155
419,Apollo Pharmacy,3.7,2.1k,6.4k,167
420,Indian Railways,4.1,2.1k,3.4k,108
421,TCE,3.8,2.1k,8.9k,282
422,Star Union Dai-ichi Life Insurance,3.9,2.1k,5.2k,125
423,Ola Cabs,3.3,2.1k,9.2k,150
424,Simplex Infrastructures,3.4,2.1k,4.7k,77
425,Bharti AXA Life Insurance,3.6,2.1k,5k,139
426,Renault Nissan Technology & Business Centre India,3.8,2.1k,13.9k,148
427,Adani Wilmar,4.1,2.1k,6.4k,127
428,Shahi Exports,4.0,2k,6.6k,121
429,SBI General Insurance,3.6,2k,6.2k,121
430,ValueLabs,3.5,2k,15.3k,204
431,Bank of Baroda,3.5,2k,6.6k,109
432,Henry Harvin Education,3.7,2k,855,52
433,Sify Technologies,3.7,2k,9.6k,144
434,Ambuja Cements,3.8,2k,5.9k,148
435,Coromandel International,4.1,2k,7.3k,118
436,Meesho,3.7,2k,8.7k,406
437,Allstate,3.7,2k,11.8k,149
438,Life Insurance Corporation of India,4.4,2k,4.3k,90
439,BHEL,4.1,2k,5k,128
440,Force Motors,3.7,2k,8k,139
441,Microsoft Corporation,3.8,2k,26.7k,598
442,Pfizer,3.9,2k,5.6k,79
443,upGrad,3.4,2k,8.8k,212
444,Daikin Airconditioning India Pvt. Ltd.,4.1,2k,7.4k,194
445,Extramarks Education,3.4,2k,7.4k,169
446,CAMS,3.6,2k,8.2k,138
447,State Street Syntel,3.7,2k,7.8k,79
448,Raymond Lifestyle Limited,4.1,2k,6.5k,107
449,Cargill,3.9,2k,8k,107
450,Ninjacart,3.8,2k,5.2k,101
451,Spark Minda,3.9,2k,6.8k,148
452,Renault-Nissan,4.1,2k,7.6k,118
453,BNP Paribas,3.7,2k,16.7k,202
454,Reliance Trends,4.1,2k,4.2k,121
455,Future Generali India Life Insurance,3.5,2k,6.7k,113
456,Power Mech Projects,3.8,2k,6.3k,113
457,Bharat Petroleum,4.1,2k,6.5k,168
458,Mercedes-Benz Research and Development India,3.7,1.9k,17k,203
459,Poonawalla Fincorp,3.5,1.9k,5.4k,72
460,FirstCry,3.6,1.9k,8.3k,202
461,Brakes India,3.9,1.9k,6.8k,90
462,Delphi TVS,3.9,1.9k,5.4k,93
463,ITC Hotels,4.1,1.9k,5.1k,96
464,Kotak Securities,3.5,1.9k,9.1k,135
465,Saint-Gobain,3.9,1.9k,10.8k,194
466,Nuvoco Vistas,4.1,1.9k,6.6k,117
467,Reliance General Insurance,3.6,1.9k,6.9k,95
468,HSBC Electronic Data Processing,4.1,1.9k,8.6k,81
469,GAO Tek,4.4,1.9k,241,423
470,CitiusTech,3.2,1.9k,13.7k,304
471,SAP,4.1,1.9k,16.6k,303
472,JK Tyres,3.6,1.9k,6.7k,112
473,YASH Technologies,3.7,1.9k,15.9k,165
474,SGS,3.8,1.9k,5.9k,114
475,Novartis,4.2,1.9k,9.4k,162
476,Morgan Stanley,3.6,1.9k,24.3k,322
477,Biological E,4.2,1.9k,6.8k,131
478,Jio Platforms,3.4,1.9k,12.7k,236
479,L&T Energy Hydrocarbon,3.8,1.9k,8k,114
480,Infinite Computer Solutions,3.3,1.9k,14.1k,166
481,Tata Motors Finance,4.0,1.9k,4.4k,69
482,IDBI Bank,3.4,1.9k,6k,75
483,AECOM,4.2,1.9k,6.6k,138
484,Newgen Software Technologies,3.8,1.9k,11.2k,198
485,Google,4.4,1.8k,27.8k,960
486,Paisabazaar.com,3.4,1.8k,6.8k,160
487,Parle Products,3.9,1.8k,3.6k,108
488,Honeywell Automation,3.8,1.8k,11.5k,125
489,EPAM Systems,3.7,1.8k,19.7k,593
490,Senco Gold,4.4,1.8k,1.4k,578
491,NCR Corporation,3.6,1.8k,9k,142
492,Philips,3.8,1.8k,10.5k,173
493,Narayana Health,3.9,1.8k,5.8k,84
494,Gabriel India Limited,4.1,1.8k,5.7k,125
495,Crisil,3.6,1.8k,12.5k,206
496,R.R. Donnelley,3.7,1.8k,9.7k,125
497,Uflex,3.8,1.8k,6.6k,123
498,Microland,3.4,1.8k,10.5k,142
499,Dr Lal PathLabs,4.2,1.8k,4.3k,162
